x,y,class
0.024835707650561634,0.04630887737658207,1.0
0.030834498506742303,0.0968974177213736,1.0
0.10771824533026259,-0.0642261066770649,1.0
0.18874858300656772,0.040963317161881146,1.0
0.13766940357419982,-0.009788103162268785,1.0
0.17380761027866584,0.01110513913412979,1.0
0.2998121113159825,0.021310932115807205,1.0
0.2936039751537708,0.025907846158123166,1.0
0.26502945151938223,0.09236562833499916,1.0
0.3476413246737931,0.07181976115988659,1.0
0.3279438750490113,0.15284594828934267,1.0
0.3568764280165155,0.16522027896387986,1.0
0.4196150549469408,0.18656493043424774,1.0
0.3373760356832357,0.18619609509409127,1.0
0.3703539499107829,0.23798326510561385,1.0
0.44995427279125916,0.34192165726866997,1.0
0.446682279255724,0.36850154730504187,1.0
0.5299604738512544,0.33573921187816985,1.0
0.48332860787256243,0.4324809363769747,1.0
0.4700480331085418,0.5095897147937121,1.0
0.6232312301657331,0.4345319916828949,1.0
0.545204637204519,0.5924900188876989,1.0
0.56358723161644,0.5807055560397205,1.0
0.4897840464386846,0.6919289574176775,1.0
0.5316339296910635,0.675694216812017,1.0
0.5591868506028616,0.6748115094625574,1.0
0.487777360049385,0.7354580746463139,1.0
0.5526472605063711,0.8714378054225358,1.0
0.4891729702091043,0.9344716037783701,1.0
0.4867362322331847,0.9288074140782684,1.0
0.45009946951419555,1.058406647169583,1.0
0.5483931101187507,0.9955992353963524,1.0
0.42742026778485614,1.1271409610922876,1.0
0.34424647241781253,1.1210614415908378,1.0
0.4040250357118533,1.1994108424066676,1.0
0.26436670568608234,1.2838113924464696,1.0
0.29513348680809726,1.2867335432247102,1.0
0.14279208800266324,1.3575392597465474,1.0
0.12729753529815202,1.4726217095525733,1.0
0.153377697599603,1.4373582482601077,1.0
0.12724137689399445,1.5500692909603784,1.0
0.04269294257962549,1.4918997791055482,1.0
-0.030752571071111602,1.6128294656156286,1.0
-0.10193721889266909,1.6940635991280895,1.0
-0.22544513835801164,1.531582066391199,1.0
-0.25477336438553555,1.6458770365297433,1.0
-0.31159250165698216,1.7423605823517603,1.0
-0.30788571009246024,1.7282213157137711,1.0
-0.41802112839972877,1.7787375236878007,1.0
-0.5999631119474427,1.748591448266512,1.0
-0.5742276658350265,1.7984038409591971,1.0
-0.6901745140106202,1.7981225062138928,1.0
-0.7869723563660973,1.8725572630768423,1.0
-0.8063088979228712,1.831468684494225,1.0
-0.8705070846096364,1.836419677339181,1.0
-0.9618868957003956,1.7958518522550153,1.0
-1.1378613261502333,1.7849950190570325,1.0
-1.1996874740783767,1.7766173923457655,1.0
-1.2566833625593574,1.8027029915690929,1.0
-1.3139942578351107,1.7424642622064863,1.0
-1.4765685012917613,1.7542746187277756,1.0
-1.5518486344253364,1.8155174301684114,1.0
-1.687756984697242,1.722912860925241,1.0
-1.7818418970724557,1.6262799370622174,1.0
-1.770508994468541,1.6614581747044055,1.0
-1.8317328900897571,1.535387811425987,1.0
-1.9906526799577238,1.4038524100229126,1.0
-2.0232709860128115,1.4008990174355576,1.0
-2.1404390872907566,1.2989003109799917,1.0
-2.274317112591036,1.3116165473906132,1.0
-2.3057877182008535,1.2625147343241911,1.0
-2.3267977518043734,1.273509801743956,1.0
-2.483169088585562,1.1298739236412152,1.0
-2.478451633603749,1.0222203349580272,1.0
-2.7603983408988726,0.9901740187415615,1.0
-2.6582600396408376,0.7496379602389298,1.0
-2.7619618601604534,0.7795206727407997,1.0
-2.8450397819639717,0.7099837904800688,1.0
-2.885897365195159,0.49747771278347414,1.0
-3.0466891462018557,0.5249469598535679,1.0
-3.0113617213877157,0.37755102918094435,1.0
-3.0316496017094763,0.22938145597762483,1.0
-3.020619990885742,0.16810407033716748,1.0
-3.161148251270345,0.13327364201970304,1.0
-3.2119242175826286,-0.09077494359335109,1.0
-3.228237432920824,-0.20977375281712363,1.0
-3.184261973004354,-0.36999868171507305,1.0
-3.235563768831561,-0.5167104273941378,1.0
-3.295407064504549,-0.5620357080678308,1.0
-3.254991429217249,-0.77763560715489,1.0
-3.2822323510286204,-0.8642677795280531,1.0
-3.239667209898978,-1.0262640805457688,1.0
-3.318692040183881,-1.1142663525415524,1.0
-3.2898430733002986,-1.25843822326052,1.0
-3.277229918491619,-1.3609896198352829,1.0
-3.3091816961362968,-1.5767144934554371,1.0
-3.1937310652838513,-1.703414115570854,1.0
-3.1621080445323737,-1.8776785756738432,1.0
-3.1355746944307636,-1.9896383232778396,1.0
-3.1022388715229896,-2.0868517464267704,1.0
-3.109941256680976,-2.2055139909485595,1.0
-3.002837591657797,-2.4262131362883292,1.0
-2.9355394243322652,-2.472200094014527,1.0
-2.889089216720688,-2.5820458446807626,1.0
-2.781603346598282,-2.7616118780494197,1.0
-2.6719223944447497,-2.8189443990221297,1.0
-2.5104652144285122,-3.0797549555776795,1.0
-2.502811873536718,-3.2290967383069424,1.0
-2.399610654120004,-3.378853080870483,1.0
-2.3114149975810028,-3.33516121970112,1.0
-2.29318034966117,-3.494025447265501,1.0
-2.082560009298554,-3.642780191129373,1.0
-1.9567690346763338,-3.7354825651592036,1.0
-1.7098399401469129,-3.911207546369756,1.0
-1.7106496382732714,-3.8338227596541823,1.0
-1.5489356675480876,-4.04630919078999,1.0
-1.4238367669843797,-4.139205324751812,1.0
-1.333895501587594,-4.19530408665409,1.0
-1.0671293314650159,-4.289245258582534,1.0
-0.9311177097448,-4.3783704447993035,1.0
-0.7694384022741045,-4.499709319496801,1.0
-0.6907734142302733,-4.50137873681458,1.0
-0.4077330836363044,-4.489564303679315,1.0
-0.377014511662437,-4.568863986254649,1.0
-0.10334342107750882,-4.6025189602840975,1.0
0.15411352556313518,-4.747182877900799,1.0
0.17513037214270571,-4.803782593939073,1.0
0.3789382065119212,-4.786354059500581,1.0
